Time,Value
06:05:53,4
06:05:54,4
06:05:55,5
06:05:56,6
06:05:57,6
06:05:58,6
06:05:59,5
06:06:00,5
06:06:01,5
06:06:02,5
06:06:03,5
06:06:04,5
06:06:05,4
06:06:06,4
06:06:07,5
06:06:08,5
06:06:09,5
06:06:10,5
06:06:11,5
06:06:12,5
06:06:13,5
06:06:14,5
06:06:15,5
06:06:16,5
06:06:17,5
06:06:18,5
06:06:19,4
06:06:20,5
06:06:21,5
06:06:22,5
06:06:23,5
06:06:24,5
06:06:25,5
06:06:26,5
06:06:27,5
06:06:28,5
06:06:29,5
06:06:30,5
06:06:31,5
06:06:32,5
06:06:33,5
06:06:34,5
06:06:35,5
06:06:36,5
06:06:37,5
06:06:38,5
06:06:39,5
06:06:40,5
06:06:41,5
06:06:42,5
06:06:43,5
06:06:44,5
06:06:45,5
06:06:46,5
06:06:48,5
06:06:49,5
06:06:50,5
06:06:51,5
06:06:52,5
06:06:53,5
06:06:54,5
06:06:55,5
06:06:56,5
06:06:57,5
06:06:58,5
06:06:59,5
06:07:00,5
06:07:01,5
06:07:02,5
06:07:03,5
06:07:04,6
06:07:05,6
06:07:06,7
06:07:07,5
06:07:08,5
06:07:09,5
06:07:10,5
06:07:11,5
06:07:12,5
06:07:13,5
06:07:14,5
06:07:15,5
06:07:16,5
06:07:17,5
06:07:18,5
06:07:19,5
06:07:21,5
06:07:22,5
06:07:23,5
06:07:24,5
06:07:25,5
06:07:26,5
06:07:27,5
06:07:28,5
06:07:29,5
06:07:30,5
06:07:31,5
06:07:32,6
06:07:33,5
06:07:34,5
06:07:36,5
06:07:37,5
06:07:38,5
06:07:40,5
06:07:41,5
06:07:42,5
06:07:43,6
06:07:44,5
06:07:45,5
06:07:46,6
06:07:47,5
06:07:48,5
06:07:49,5
06:07:50,5
06:07:51,5
06:07:52,5
06:07:53,5
06:07:54,5
06:07:55,5
06:07:56,5
06:07:57,5
06:07:58,5
06:07:59,5
06:08:00,5
06:08:01,5
06:08:02,5
06:08:03,5
06:08:04,6
06:08:05,6
06:08:06,5
06:08:07,6
06:08:08,5
06:08:09,5
06:08:10,5
06:08:11,5
06:08:12,6
06:08:13,6
06:08:14,6
06:08:15,6
06:08:16,6
06:08:17,5
06:08:18,6
06:08:19,5
06:08:20,6
06:08:21,6
06:08:22,6
06:08:23,6
06:08:24,6
06:08:25,6
06:08:26,6
06:08:27,6
06:08:28,6
06:08:29,6
06:08:30,6
06:08:31,6
06:08:32,6
06:08:33,6
06:08:34,6
06:08:35,7
06:08:36,7
06:08:38,6
06:08:39,6
06:08:40,6
06:08:41,6
06:08:42,7
06:08:43,7
06:08:44,7
06:08:45,7
06:08:46,7
06:08:47,7
06:08:48,6
06:08:49,7
06:08:50,7
06:08:51,7
06:08:52,7
06:08:53,7
06:08:54,7
06:08:55,7
06:08:56,7
06:08:57,7
06:08:58,7
06:08:59,7
06:09:00,7
06:09:01,7
